N,J,K,seed,transient_time
100,0.02,0.07999999999999996,1,200
100,0.02,0.07999999999999996,2,0
100,0.02,0.08999999999999997,0,270
100,0.02,0.08999999999999997,1,170
100,0.02,0.08999999999999997,2,0
100,0.02,0.09999999999999998,0,230
100,0.02,0.09999999999999998,1,150
100,0.02,0.09999999999999998,2,0
100,0.02,0.0,0,9526
100,0.02,0.0,1,9765
100,0.02,0.0,2,9625
100,0.02,0.10999999999999999,0,200
100,0.02,0.10999999999999999,1,130
100,0.02,0.10999999999999999,2,0
100,0.02,0.12,0,180
100,0.02,0.12,1,110
100,0.02,0.12,2,0
100,0.02,0.13,0,160
100,0.02,0.13,1,100
100,0.02,0.13,2,0
100,0.02,0.14,0,140
100,0.02,0.14,1,90
100,0.02,0.14,2,0
100,0.02,0.15000000000000002,0,120
100,0.02,0.15000000000000002,1,80
100,0.02,0.15000000000000002,2,0
100,0.02,0.15999999999999992,0,110
100,0.02,0.15999999999999992,1,70
100,0.02,0.15999999999999992,2,0
100,0.02,0.16999999999999993,0,100
100,0.02,0.16999999999999993,1,60
100,0.02,0.16999999999999993,2,0
100,0.02,0.17999999999999994,0,80
100,0.02,0.17999999999999994,1,60
100,0.02,0.17999999999999994,2,0
100,0.02,0.18999999999999995,0,80
100,0.02,0.18999999999999995,1,50
100,0.02,0.18999999999999995,2,0
100,0.02,0.2,0,0
100,0.02,0.2,1,50
100,0.02,0.2,2,0
100,0.03,-0.010000000000000009,0,9752
100,0.03,-0.010000000000000009,1,9768
100,0.03,-0.010000000000000009,2,9968
100,0.03,-0.020000000000000018,0,9945
100,0.03,-0.020000000000000018,1,9848
100,0.03,-0.020000000000000018,2,0
100,0.03,-0.030000000000000027,0,370
100,0.03,-0.030000000000000027,1,9923
100,0.03,-0.030000000000000027,2,0
100,0.03,-0.040000000000000036,0,0
100,0.03,-0.040000000000000036,1,9706
100,0.03,-0.040000000000000036,2,0
100,0.03,-0.050000000000000044,0,0
100,0.03,-0.050000000000000044,1,4870
100,0.03,-0.050000000000000044,2,0
100,0.03,-0.06000000000000005,0,0
100,0.03,-0.06000000000000005,1,3920
100,0.03,-0.06000000000000005,2,0
100,0.03,-0.07000000000000006,0,0
100,0.03,-0.07000000000000006,1,3340
100,0.03,-0.07000000000000006,2,0
100,0.03,-0.08000000000000007,0,0
100,0.03,-0.08000000000000007,1,2960
100,0.03,-0.08000000000000007,2,0
100,0.03,-0.09000000000000008,0,0
100,0.03,-0.09000000000000008,1,1360
100,0.03,-0.09000000000000008,2,0
100,0.03,-0.09999999999999998,0,0
100,0.03,-0.09999999999999998,1,1220
100,0.03,-0.09999999999999998,2,0
100,0.03,-0.10999999999999999,0,0
100,0.03,-0.10999999999999999,1,1120
100,0.03,-0.10999999999999999,2,0
100,0.03,-0.12,0,0
100,0.03,-0.12,1,1040
100,0.03,-0.12,2,0
100,0.03,-0.13,0,0
100,0.03,-0.13,1,980
100,0.03,-0.13,2,0
100,0.03,-0.14,0,0
100,0.03,-0.14,1,9855
100,0.03,-0.14,2,0
100,0.03,-0.15000000000000002,0,0
100,0.03,-0.15000000000000002,1,9865
100,0.03,-0.15000000000000002,2,0
100,0.03,-0.16000000000000003,0,0
100,0.03,-0.16000000000000003,1,820
100,0.03,-0.16000000000000003,2,0
100,0.03,-0.17000000000000004,0,0
100,0.03,-0.17000000000000004,1,780
100,0.03,-0.17000000000000004,2,0
100,0.03,-0.18000000000000005,0,0
100,0.03,-0.18000000000000005,1,770
100,0.03,-0.18000000000000005,2,0
100,0.03,-0.19000000000000006,0,0
100,0.03,-0.19000000000000006,1,780
100,0.03,-0.19000000000000006,2,0
100,0.03,-0.20000000000000007,0,0
100,0.03,-0.20000000000000007,1,750
100,0.03,-0.20000000000000007,2,0
100,0.03,-0.21000000000000008,0,0
100,0.03,-0.21000000000000008,1,9899
100,0.03,-0.21000000000000008,2,0
100,0.03,-0.22000000000000008,0,0
100,0.03,-0.22000000000000008,1,9838
100,0.03,-0.22000000000000008,2,0
100,0.03,-0.22999999999999998,0,0
100,0.03,-0.22999999999999998,1,380
100,0.03,-0.22999999999999998,2,0
100,0.03,-0.24,0,0
100,0.03,-0.24,1,0
100,0.03,-0.24,2,0
100,0.03,-0.25,0,0
100,0.03,-0.25,1,9861
100,0.03,-0.25,2,0
100,0.03,-0.26,0,0
100,0.03,-0.26,1,9939
100,0.03,-0.26,2,0
100,0.03,-0.27,0,0
100,0.03,-0.27,1,0
100,0.03,-0.27,2,0
100,0.03,-0.28,0,0
100,0.03,-0.28,1,0
100,0.03,-0.28,2,0
100,0.03,-0.29000000000000004,0,0
100,0.03,-0.29000000000000004,1,0
100,0.03,-0.29000000000000004,2,0
100,0.03,-0.30000000000000004,0,0
100,0.03,-0.30000000000000004,1,0
100,0.03,-0.30000000000000004,2,0
100,0.03,-0.31000000000000005,0,0
100,0.03,-0.31000000000000005,1,0
100,0.03,-0.31000000000000005,2,0
100,0.03,-0.32000000000000006,0,0
100,0.03,-0.32000000000000006,1,0
100,0.03,-0.32000000000000006,2,0
100,0.03,-0.33,0,0
100,0.03,-0.33,1,0
100,0.03,-0.33,2,0
100,0.03,-0.34,0,0
100,0.03,-0.34,1,0
100,0.03,-0.34,2,0
100,0.03,-0.35000000000000003,0,0
100,0.03,-0.35000000000000003,1,0
100,0.03,-0.35000000000000003,2,0
100,0.03,-0.36000000000000004,0,0
100,0.03,-0.36000000000000004,1,0
100,0.03,-0.36000000000000004,2,0
100,0.03,-0.37000000000000005,0,0
100,0.03,-0.37000000000000005,1,0
100,0.03,-0.37000000000000005,2,0
100,0.03,-0.38000000000000006,0,0
100,0.03,-0.38000000000000006,1,0
100,0.03,-0.38000000000000006,2,0
100,0.03,-0.39,0,0
100,0.03,-0.39,1,0
100,0.03,-0.39,2,0
100,0.03,-0.41000000000000003,0,0
100,0.03,-0.41000000000000003,1,0
100,0.03,-0.41000000000000003,2,0
100,0.03,-0.42000000000000004,0,0
100,0.03,-0.42000000000000004,1,0
100,0.03,-0.42000000000000004,2,0
100,0.03,-0.43000000000000005,0,0
100,0.03,-0.43000000000000005,1,0
100,0.03,-0.43000000000000005,2,0
100,0.03,-0.44000000000000006,0,0
100,0.03,-0.44000000000000006,1,0
100,0.03,-0.44000000000000006,2,0
100,0.03,-0.45,0,0
100,0.03,-0.45,1,0
100,0.03,-0.45,2,0
100,0.03,-0.46,0,0
100,0.03,-0.46,1,0
100,0.03,-0.46,2,0
100,0.03,-0.47000000000000003,0,0
100,0.03,-0.47000000000000003,1,0
100,0.03,-0.47000000000000003,2,0
100,0.03,-0.48000000000000004,0,0
100,0.03,-0.48000000000000004,1,0
100,0.03,-0.48000000000000004,2,0
100,0.03,-0.49000000000000005,0,0
100,0.03,-0.49000000000000005,1,0
100,0.03,-0.49000000000000005,2,0
100,0.03,-0.4,0,0
100,0.03,-0.4,1,0
100,0.03,-0.4,2,0
100,0.03,-0.51,0,0
100,0.03,-0.51,1,0
100,0.03,-0.51,2,0
100,0.03,-0.52,0,0
100,0.03,-0.52,1,0
100,0.03,-0.52,2,0
100,0.03,-0.53,0,0
100,0.03,-0.53,1,0
100,0.03,-0.53,2,0
100,0.03,-0.54,0,0
100,0.03,-0.54,1,0
100,0.03,-0.54,2,0
100,0.03,-0.55,0,0
100,0.03,-0.55,1,0
100,0.03,-0.55,2,0
100,0.03,-0.56,0,0
100,0.03,-0.56,1,0
100,0.03,-0.56,2,0
100,0.03,-0.5700000000000001,0,0
