N,J,K,seed,transient_time,converged,window_size,threshold
270,0.2,0.2,21,230,True,50,0.01
270,0.2,0.2,22,239,True,50,0.01
270,0.2,0.2,23,235,True,50,0.01
270,0.2,0.2,24,222,True,50,0.01
270,0.2,0.2,25,214,True,50,0.01
270,0.2,0.2,26,215,True,50,0.01
270,0.2,0.2,27,201,True,50,0.01
270,0.2,0.2,28,284,True,50,0.01
270,0.2,0.2,29,257,True,50,0.01
270,0.2,0.2,3,240,True,50,0.01
270,0.2,0.2,4,249,True,50,0.01
270,0.2,0.2,5,356,True,50,0.01
270,0.2,0.2,6,230,True,50,0.01
270,0.2,0.2,7,255,True,50,0.01
270,0.2,0.2,8,224,True,50,0.01
270,0.2,0.2,9,248,True,50,0.01
280,0.2,0.2,0,257,True,50,0.01
280,0.2,0.2,1,218,True,50,0.01
280,0.2,0.2,10,236,True,50,0.01
280,0.2,0.2,11,253,True,50,0.01
280,0.2,0.2,12,253,True,50,0.01
280,0.2,0.2,13,184,True,50,0.01
280,0.2,0.2,14,196,True,50,0.01
280,0.2,0.2,15,222,True,50,0.01
280,0.2,0.2,16,209,True,50,0.01
280,0.2,0.2,17,220,True,50,0.01
280,0.2,0.2,18,236,True,50,0.01
280,0.2,0.2,19,236,True,50,0.01
280,0.2,0.2,2,215,True,50,0.01
280,0.2,0.2,20,197,True,50,0.01
280,0.2,0.2,21,215,True,50,0.01
280,0.2,0.2,22,218,True,50,0.01
280,0.2,0.2,23,192,True,50,0.01
280,0.2,0.2,24,221,True,50,0.01
280,0.2,0.2,25,215,True,50,0.01
280,0.2,0.2,26,234,True,50,0.01
280,0.2,0.2,27,211,True,50,0.01
280,0.2,0.2,28,246,True,50,0.01
280,0.2,0.2,29,259,True,50,0.01
280,0.2,0.2,3,225,True,50,0.01
280,0.2,0.2,4,273,True,50,0.01
280,0.2,0.2,5,253,True,50,0.01
280,0.2,0.2,6,239,True,50,0.01
280,0.2,0.2,7,254,True,50,0.01
280,0.2,0.2,8,217,True,50,0.01
280,0.2,0.2,9,262,True,50,0.01
290,0.2,0.2,0,280,True,50,0.01
290,0.2,0.2,1,204,True,50,0.01
290,0.2,0.2,10,235,True,50,0.01
290,0.2,0.2,11,241,True,50,0.01
290,0.2,0.2,12,233,True,50,0.01
290,0.2,0.2,13,204,True,50,0.01
290,0.2,0.2,14,175,True,50,0.01
290,0.2,0.2,15,234,True,50,0.01
290,0.2,0.2,16,215,True,50,0.01
290,0.2,0.2,17,199,True,50,0.01
290,0.2,0.2,18,227,True,50,0.01
290,0.2,0.2,19,244,True,50,0.01
290,0.2,0.2,2,229,True,50,0.01
290,0.2,0.2,20,194,True,50,0.01
290,0.2,0.2,21,222,True,50,0.01
290,0.2,0.2,22,219,True,50,0.01
290,0.2,0.2,23,218,True,50,0.01
290,0.2,0.2,28,277,True,50,0.01
290,0.2,0.2,29,264,True,50,0.01
290,0.2,0.2,3,237,True,50,0.01
290,0.2,0.2,4,281,True,50,0.01
290,0.2,0.2,5,255,True,50,0.01
290,0.2,0.2,6,259,True,50,0.01
290,0.2,0.2,7,329,True,50,0.01
290,0.2,0.2,8,250,True,50,0.01
290,0.2,0.2,9,270,True,50,0.01
300,0.2,0.2,0,291,True,50,0.01
300,0.2,0.2,1,214,True,50,0.01
300,0.2,0.2,10,223,True,50,0.01
300,0.2,0.2,11,260,True,50,0.01
300,0.2,0.2,12,206,True,50,0.01
300,0.2,0.2,13,181,True,50,0.01
300,0.2,0.2,14,177,True,50,0.01
300,0.2,0.2,15,221,True,50,0.01
300,0.2,0.2,16,250,True,50,0.01
300,0.2,0.2,17,205,True,50,0.01
300,0.2,0.2,18,219,True,50,0.01
300,0.2,0.2,19,232,True,50,0.01
300,0.2,0.2,2,226,True,50,0.01
300,0.2,0.2,20,197,True,50,0.01
300,0.2,0.2,21,219,True,50,0.01
300,0.2,0.2,22,216,True,50,0.01
300,0.2,0.2,23,220,True,50,0.01
300,0.2,0.2,3,244,True,50,0.01
300,0.2,0.2,4,252,True,50,0.01
300,0.2,0.2,5,262,True,50,0.01
300,0.2,0.2,6,257,True,50,0.01
300,0.2,0.2,7,229,True,50,0.01
300,0.2,0.2,8,218,True,50,0.01
300,0.2,0.2,9,291,True,50,0.01
310,0.2,0.2,10,275,True,50,0.01
310,0.2,0.2,11,278,True,50,0.01
310,0.2,0.2,12,211,True,50,0.01
310,0.2,0.2,13,189,True,50,0.01
310,0.2,0.2,14,179,True,50,0.01
310,0.2,0.2,15,215,True,50,0.01
310,0.2,0.2,16,226,True,50,0.01
310,0.2,0.2,17,210,True,50,0.01
310,0.2,0.2,18,217,True,50,0.01
310,0.2,0.2,19,236,True,50,0.01
